2021-12-12 13:12:855 INFO  HomePage :70 - Accepting cookies: [[ChromeDriver: chrome on WINDOWS (72561438cd679398b435b78dd0f2dc84)] -> xpath: //button[@id='save']]
2021-12-12 13:12:909 INFO  HomePage :75 - Entering job title: [[ChromeDriver: chrome on WINDOWS (72561438cd679398b435b78dd0f2dc84)] -> id: keywords]
2021-12-12 13:12:966 INFO  HomePage :80 - Entering location: [[ChromeDriver: chrome on WINDOWS (72561438cd679398b435b78dd0f2dc84)] -> id: location]
2021-12-12 13:12:61 INFO  HomePage :86 - Selecting distance from dropdown: [[ChromeDriver: chrome on WINDOWS (72561438cd679398b435b78dd0f2dc84)] -> id: distance]
2021-12-12 13:12:347 INFO  HomePage :91 - Clicking on more search options: [[ChromeDriver: chrome on WINDOWS (72561438cd679398b435b78dd0f2dc84)] -> id: toggle-hp-search]
2021-12-12 13:12:529 INFO  HomePage :96 - Entering minimum salary: [[ChromeDriver: chrome on WINDOWS (72561438cd679398b435b78dd0f2dc84)] -> id: salarymin]
2021-12-12 13:12:580 INFO  HomePage :101 - Entering maximum salary: 50000
2021-12-12 13:12:626 INFO  HomePage :106 - Selecting salary type from dropdown: [[ChromeDriver: chrome on WINDOWS (72561438cd679398b435b78dd0f2dc84)] -> id: salarytype]
2021-12-12 13:12:670 INFO  HomePage :111 - Selecting job type from dropdown: [[ChromeDriver: chrome on WINDOWS (72561438cd679398b435b78dd0f2dc84)] -> id: tempperm]
2021-12-12 13:12:726 INFO  HomePage :116 - Clicking on find job button: [[ChromeDriver: chrome on WINDOWS (72561438cd679398b435b78dd0f2dc84)] -> id: hp-search-btn]
2021-12-12 13:12:122 INFO  ResultPage :37 - Verifying Search result: [[ChromeDriver: chrome on WINDOWS (72561438cd679398b435b78dd0f2dc84)] -> xpath: //div[@class='search-header__title']]
2021-12-12 13:12:89 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-12 13:12:585 INFO  HomePage :70 - Accepting cookies: [[ChromeDriver: chrome on WINDOWS (80bf521ea787fb3381945cd4e7d61bc7)] -> xpath: //button[@id='save']]
2021-12-12 13:12:635 INFO  HomePage :75 - Entering job title: [[ChromeDriver: chrome on WINDOWS (80bf521ea787fb3381945cd4e7d61bc7)] -> id: keywords]
2021-12-12 13:12:710 INFO  HomePage :80 - Entering location: [[ChromeDriver: chrome on WINDOWS (80bf521ea787fb3381945cd4e7d61bc7)] -> id: location]
2021-12-12 13:12:806 INFO  HomePage :86 - Selecting distance from dropdown: [[ChromeDriver: chrome on WINDOWS (80bf521ea787fb3381945cd4e7d61bc7)] -> id: distance]
2021-12-12 13:12:873 INFO  HomePage :91 - Clicking on more search options: [[ChromeDriver: chrome on WINDOWS (80bf521ea787fb3381945cd4e7d61bc7)] -> id: toggle-hp-search]
2021-12-12 13:12:88 INFO  HomePage :96 - Entering minimum salary: [[ChromeDriver: chrome on WINDOWS (80bf521ea787fb3381945cd4e7d61bc7)] -> id: salarymin]
2021-12-12 13:12:128 INFO  HomePage :101 - Entering maximum salary: 60000
2021-12-12 13:12:157 INFO  HomePage :106 - Selecting salary type from dropdown: [[ChromeDriver: chrome on WINDOWS (80bf521ea787fb3381945cd4e7d61bc7)] -> id: salarytype]
2021-12-12 13:12:202 INFO  HomePage :111 - Selecting job type from dropdown: [[ChromeDriver: chrome on WINDOWS (80bf521ea787fb3381945cd4e7d61bc7)] -> id: tempperm]
2021-12-12 13:12:259 INFO  HomePage :116 - Clicking on find job button: [[ChromeDriver: chrome on WINDOWS (80bf521ea787fb3381945cd4e7d61bc7)] -> id: hp-search-btn]
2021-12-12 13:12:744 INFO  ResultPage :37 - Verifying Search result: [[ChromeDriver: chrome on WINDOWS (80bf521ea787fb3381945cd4e7d61bc7)] -> xpath: //div[@class='search-header__title']]
2021-12-12 13:12:849 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-12 13:12:100 INFO  HomePage :70 - Accepting cookies: [[ChromeDriver: chrome on WINDOWS (9770e4aba763e7015807afd385e96181)] -> xpath: //button[@id='save']]
2021-12-12 13:12:155 INFO  HomePage :75 - Entering job title: [[ChromeDriver: chrome on WINDOWS (9770e4aba763e7015807afd385e96181)] -> id: keywords]
2021-12-12 13:12:208 INFO  HomePage :80 - Entering location: [[ChromeDriver: chrome on WINDOWS (9770e4aba763e7015807afd385e96181)] -> id: location]
2021-12-12 13:12:272 INFO  HomePage :86 - Selecting distance from dropdown: [[ChromeDriver: chrome on WINDOWS (9770e4aba763e7015807afd385e96181)] -> id: distance]
2021-12-12 13:12:355 INFO  HomePage :91 - Clicking on more search options: [[ChromeDriver: chrome on WINDOWS (9770e4aba763e7015807afd385e96181)] -> id: toggle-hp-search]
2021-12-12 13:12:474 INFO  HomePage :96 - Entering minimum salary: [[ChromeDriver: chrome on WINDOWS (9770e4aba763e7015807afd385e96181)] -> id: salarymin]
2021-12-12 13:12:527 INFO  HomePage :101 - Entering maximum salary: 50000
2021-12-12 13:12:568 INFO  HomePage :106 - Selecting salary type from dropdown: [[ChromeDriver: chrome on WINDOWS (9770e4aba763e7015807afd385e96181)] -> id: salarytype]
2021-12-12 13:12:616 INFO  HomePage :111 - Selecting job type from dropdown: [[ChromeDriver: chrome on WINDOWS (9770e4aba763e7015807afd385e96181)] -> id: tempperm]
2021-12-12 13:12:675 INFO  HomePage :116 - Clicking on find job button: [[ChromeDriver: chrome on WINDOWS (9770e4aba763e7015807afd385e96181)] -> id: hp-search-btn]
2021-12-12 13:12:373 INFO  ResultPage :37 - Verifying Search result: [[ChromeDriver: chrome on WINDOWS (9770e4aba763e7015807afd385e96181)] -> xpath: //div[@class='search-header__title']]
2021-12-12 13:12:375 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-12 13:12:814 INFO  HomePage :70 - Accepting cookies: [[ChromeDriver: chrome on WINDOWS (48a3ff2d02d70faed173be1bf747ae4e)] -> xpath: //button[@id='save']]
2021-12-12 13:12:868 INFO  HomePage :75 - Entering job title: [[ChromeDriver: chrome on WINDOWS (48a3ff2d02d70faed173be1bf747ae4e)] -> id: keywords]
2021-12-12 13:12:937 INFO  HomePage :80 - Entering location: [[ChromeDriver: chrome on WINDOWS (48a3ff2d02d70faed173be1bf747ae4e)] -> id: location]
2021-12-12 13:12:16 INFO  HomePage :86 - Selecting distance from dropdown: [[ChromeDriver: chrome on WINDOWS (48a3ff2d02d70faed173be1bf747ae4e)] -> id: distance]
2021-12-12 13:12:89 INFO  HomePage :91 - Clicking on more search options: [[ChromeDriver: chrome on WINDOWS (48a3ff2d02d70faed173be1bf747ae4e)] -> id: toggle-hp-search]
2021-12-12 13:12:285 INFO  HomePage :96 - Entering minimum salary: [[ChromeDriver: chrome on WINDOWS (48a3ff2d02d70faed173be1bf747ae4e)] -> id: salarymin]
2021-12-12 13:12:326 INFO  HomePage :101 - Entering maximum salary: 60000
2021-12-12 13:12:355 INFO  HomePage :106 - Selecting salary type from dropdown: [[ChromeDriver: chrome on WINDOWS (48a3ff2d02d70faed173be1bf747ae4e)] -> id: salarytype]
2021-12-12 13:12:400 INFO  HomePage :111 - Selecting job type from dropdown: [[ChromeDriver: chrome on WINDOWS (48a3ff2d02d70faed173be1bf747ae4e)] -> id: tempperm]
2021-12-12 13:12:455 INFO  HomePage :116 - Clicking on find job button: [[ChromeDriver: chrome on WINDOWS (48a3ff2d02d70faed173be1bf747ae4e)] -> id: hp-search-btn]
2021-12-12 13:12:741 INFO  ResultPage :37 - Verifying Search result: [[ChromeDriver: chrome on WINDOWS (48a3ff2d02d70faed173be1bf747ae4e)] -> xpath: //div[@class='search-header__title']]
2021-12-12 13:12:821 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-12 13:12:266 INFO  HomePage :70 - Accepting cookies: [[ChromeDriver: chrome on WINDOWS (400baf2a615af1fc0f303bbab11cd880)] -> xpath: //button[@id='save']]
2021-12-12 13:12:328 INFO  HomePage :75 - Entering job title: [[ChromeDriver: chrome on WINDOWS (400baf2a615af1fc0f303bbab11cd880)] -> id: keywords]
2021-12-12 13:12:423 INFO  HomePage :80 - Entering location: [[ChromeDriver: chrome on WINDOWS (400baf2a615af1fc0f303bbab11cd880)] -> id: location]
2021-12-12 13:12:515 INFO  HomePage :86 - Selecting distance from dropdown: [[ChromeDriver: chrome on WINDOWS (400baf2a615af1fc0f303bbab11cd880)] -> id: distance]
2021-12-12 13:12:788 INFO  HomePage :91 - Clicking on more search options: [[ChromeDriver: chrome on WINDOWS (400baf2a615af1fc0f303bbab11cd880)] -> id: toggle-hp-search]
2021-12-12 13:12:955 INFO  HomePage :96 - Entering minimum salary: [[ChromeDriver: chrome on WINDOWS (400baf2a615af1fc0f303bbab11cd880)] -> id: salarymin]
2021-12-12 13:12:08 INFO  HomePage :101 - Entering maximum salary: 50000
2021-12-12 13:12:40 INFO  HomePage :106 - Selecting salary type from dropdown: [[ChromeDriver: chrome on WINDOWS (400baf2a615af1fc0f303bbab11cd880)] -> id: salarytype]
2021-12-12 13:12:84 INFO  HomePage :111 - Selecting job type from dropdown: [[ChromeDriver: chrome on WINDOWS (400baf2a615af1fc0f303bbab11cd880)] -> id: tempperm]
2021-12-12 13:12:138 INFO  HomePage :116 - Clicking on find job button: [[ChromeDriver: chrome on WINDOWS (400baf2a615af1fc0f303bbab11cd880)] -> id: hp-search-btn]
2021-12-12 13:12:41 INFO  ResultPage :37 - Verifying Search result: [[ChromeDriver: chrome on WINDOWS (400baf2a615af1fc0f303bbab11cd880)] -> xpath: //div[@class='search-header__title']]
